feedback,Category
"my boyfriend, literally loses his wallet every single day Well lost his wallet every single day until I bought him this AirTag. I got him a wallet with a AirTag slot on it and ever since then he hasn't went a single day without it. It gives him a complete ease of finding it when he sits it down somewhere because his phone alerts him exactly where it has been left. It is super accurate and it has a battery inside that takes years to die so it's definitely durable and worth the purchase. You can put it in your purse. You can put it in your wallet. You can put it in your children's book bag. Whatever you want to keep up with you can place that AirTag on it or in it. Your phone also allows you to play a sound from your AirTag if you lose it and it is loud so you won't miss it.",Positive
"Anyone who has a daughter knows that a Stanley water bottle is the ""it"" container for fluids. This is stylish and the color is beautiful. The handle is convenient for carrying. The style allows for customization with a fun straw color cover. Drinks stay cold for hours. The top does leak. Leaks through straw without separate cover and leaks through the piece that holds the straw. Assembly and disassembly for dishwashing is easy and all pieces are dishwasher safe. Screw top is also very easy to open. Expensive, but in line with name brand metal water bottles. Drinks taste crisp and cold.",Negative with Suggestion
My son build whoa Lego sets so quickly - this is a great set for letting him be creative and build his own designs!,Positive
"Often Apple products have a layer of quality, feel, integration, features or ease of use that distinguish them from the competition. This is not true here. While the quality and build are solid- this is a mouse- that at least with respect to the IPad Air M2 is comparable performance wise with products costing less than half.Functionality wise, other than a few gestures that are useful- I found a much less expensive Logitech mouse to be slightly more responsive. While the Logitech mouse uses a scroll wheel- it was no more laggy than the Magic Mouse.On the Mac Air, I have another Logitech mouse, again much less expensive, that meets my needs extremely well.This review is not intended to be a commercial for Logitech- but only to highlight that with respect to the Magic Mouse, the value proposition is not quite there. The build quality of the Magic Mouse is excellent, but the overall performance and ergonomics don't seem to justify the price.",Negative with Suggestion
you won't be disappointed,Positive
"I was able to pause the instruction, click over to my adwords campaign and make the changes as I was learning.",Positive
"works really well. I wish I could have a filter available to make it easier to find English speaking content. It's not what it was but still works and it's very reliable streamer app. Just too much content not in my language which is English. It's really time consuming trying to remember something is not English so you watch the trailers if there's one available. Language filter is desperately needed, any regular user knows this. But will it happen, doubtful.",Negative with Suggestion
requires continued use to get used to cordless use,Negative
I love them  I have it on my keys so I don't lose them & if I do it tells me where they are,Positive
"I do appreciate that the instructor is extremely knowledgeable and enthusiastic regarding Google AdWords.  However, I need things broken down a lot more than it was on here.  Plus, I need practice assignments to help reinforce what is being taught.  If I can get the practice, then I can learn more, because then it is more hands on.  Also, a job aid step-by-step with pics and a definitions list would help too.",Negative with Suggestion
"But I've only started using it regularly in the last few weeks. It's exceptional &amp; I'm enjoying splitting my meditations between Calm and Breethe. 
Calm's customer service is terrific as well and that is huge in my book. We needed a refund on the yearly for my mother who didn't really need it &amp; they kindly refunded the accidental purchase. Top notch app! Worth every penny.",Positive
"Absolutely love my Stanley water bottle! The quality is top-notch—durable, well-insulated, and keeps my water cold for hours. The design is sleek and easy to carry, plus the handle makes it super convenient on the go. The lid is leak-proof, and the straw makes sipping effortless",Positive
My daughter loved it. I got the used like new and there was a small black scuff or two that came off with magic eraser!,Positive
"Been a Nike shoe guy for a long time, these are the most narrow I've ever purchased.",Negative
"If you're worried about the Zombie Apocalypse, this kit is a great way to secure the perimeter of your home- just open the packages of pretty rainbow coloured pieces and toss around the floor! With 790 pieces of pure torture, anyone who has ever stepped on a lego knows this will be a very inexpensive way to keep Zombies, Burglars, Assorted Bad Guys, and any barefooted adults at a safe distance. This is also a super bargain for anyone who loves building with legos, but hates the price of those little kits-- which can cost $15 and up for enough pieces for ONE specific toy build, so ya, bargain.We gave this set to a 9 year old, and unfortunately it was the second gift opened at the party...and mom and dad had to tell him to put the legos down and open the other gifts. He did, but immediately went back to the lego set and *everyone* at the party (all the kids and one of the dads) just spilled them out on a table and began to build things. So yay for me - first time I've brought the best gift!Now, the S I Z E of the bucket (adorable btw) is roughly 14"" x 10"" x 7"" -> which, after you open all the little bags with all the really pretty rainbow coloured pieces and dump them in, will look rather ""wah waaaaaahn"" if you know what I mean. (LOOK at the photo and understand that the rainbow row of pieces is what you are getting - the toys are an *example* of what you can *make* -not additional pieces, so disappointing at first unless you KNOW what you are getting.) But there are seriously 790 pieces in there and the bucket has enough storage space left over that the mom was very HAPPY to go get the other legos they had and dump them in the ""CUTE NEW LEGO BOX!"" (It looks like a giant lego) The kit comes with an instruction booklet for 3 toys to build and a link to online instructions for about 4-5 more toys. I am pretty sure you can go on pinterest and other sites and find all sorts of free patterns, so wahoo for those folks who make things and share freely.BOTTOM LINE: If you need an impressive fun INEXPENSIVE FOR WHAT YOU'RE GETTING gift, this is it.",Positive with Suggestion
"I am very satisfied with my cup. The size is pleasing, the cup is obviously real, and the grip is comfortable. Yes, they do leak. But there are solutions to it: Purchase leak stoppers of the right size and type for you cup. They're avaliable on here, bought them before. No issues with the cup, just please don't be rough with it. The appearance is dazzling.",Positive with Suggestion
"These very first time I used it. My luggage was lost. The agent told me my suitcase was in Madrid. I showed her on my phone where it was in Dallas. A short six days later, I was reunited with my suitcase.",Negative
"I don't know who would enjoy using this kind of mouse. The design is impractical and not ergonomic. Plus, the charging slot is right underneath, so you have to flip it over to charge. The quality seems good, and compatibility with Apple computers is fast and easy, but I would never buy it again.",Negative with Suggestion
Apple works with apple. Had other wireless mice but always a problem. The wireless apple mouse no problem.,Positive
"This is all new to me as I have hired for the skill up to this time. This program seems very well laid out, and informational. I feel like if I played with it for a little while I could enhance my understanding. Thanks!!",Positive
"United is the only Airline I have never had a problem with. Maybe I am luck because of that, but I really can't complain about any service United has ever given me.",Positive
"I've been using Aveeno Baby Daily Moisture Gentle Bath Wash & Shampoo for my toddler, and it's fantastic. The natural oat extract is gentle on sensitive skin, and the hypoallergenic, tear-free formula ensures bath time is pleasant for my baby. The smell is faint, not overbearing. The bottle pump works great. The packaging was excellent—no leaks or spills. Overall, a great product that delivers on its promises and is perfect for delicate skin.",Positive
Bought this for my sister and she loved it for her birthday. She tells me the handle is super convenient. Also it keeps it super cold and hot for a long time which is great for traveling and keeping in the car. Also not plastic which is a plus so sun damage won't release any micronanoplastics into your water. Always against plastic and go for glass or like this steel.,Positive
"I'm always running late or misplacing my keys, as an Apple owner this purchase was a no brainer! The set up was a breeze and only took 2 minutes from opening the box to pinging my device for the first time. I would highly recommend getting an AirTag for your valuables.",Positive
"I got my self sucked in on buying a tumbler, even though I have other brands. No regret It's cute and steady. I will be using it on my trips to Pilates class.",Positive
"This was the perfect gift for my 7 year old grandson who lives building with blocks. There are a huge assortment and blocks are separated in individual bags by color. There are instructions to make certain things and plenty of blocks to use your imagination .Also to make it event better , nice  carry case included!Perfect gift if a boy or girl .",Positive
"I can't tell you how many times I have used this to find my keys or my wallet. I have about 8 of them and keep them on every key chain for every car and every wallet/purse, etc. Everyone needs these.I have not yet tried them to track luggage when flying but I know people who do.",Positive
"Great course! It's perfect for beginners, as the title suggests, and gives you the tools you need to get started. It also includes some great resources for further reading.",Positive
"This is honestly the best shampoo and body wash for babies ever!I have tried them all and this is the most consistent in quality, and PERFECT FOR SENSITIVE SKIN!It is awesome value for your money. The size of this bottle is huge I'd think it was from Costco.It's very effective in cleaning the babies scalp and body without harsh chemicals. There is not really a scent to it which is perfect because scents can irritate the skin. There is also no color to it, just clear!There are obviously more cheaper ones out there but this is the best quality and it is the best price on Amazon! We have this on subscription and will never go to any other baby shampoo. If you are thinking of trying it… JUST DO IT!!!",Positive
"I am a frequent traveler. I travel for months and I love streaming Netflix in a TV using the QR code so I can save my cellphone battery. I also bring my roku to plug in the hotel or air bnb. This option is gone. It wants the same wifi system? Not good for plug in roku, amazon sticks, or any travel sticks anymore. It's looking for the same wifi system. I don't recommend it for frequent travelers.",Negative
"Everything in life is a subscription now these days. We all chipped in to lessen the cost of Netflix and enjoy it, now we have to ether pay way more, or go solo with it. With everything else people have to pay for, this was one that was enjoyable, because people helped and made it the best and cheapest streaming service. Is it a lot of money? No. Does it add up when you have no choice but to subscribe to everything else in life? Absolutely.",Negative
Bought these for our ebikes. They were easy to set up and use and they seem to work pretty well. We are still getting the hang of using them. They often remind us that we have left an item behind when we really haven't (we are still there.) I think it is more an issue of user fluency than a problem with the device.,Positive
"More an thorough introduction to the service than an in-depth guide on AdWords strategies, but still very well explained and helps everyone a bunch!",Positive with Suggestion
"I have the 40oz already and it works great but sometimes I just want something smaller to tote around and the 20oz is perfect! Fits just enough water for quick trips around town or at home. Its small size makes it easier to carry into church, etc. Especially glad it has a handle. A small one, but it works!",Positive
I miss the Netflix that I could login anywhere on anything but now I have to have a code and say I'm traveling. I hate the only one household thing because what happened to this was a household app I have other family members that would rather use one that's already getting paid for then getting their own. I really don't wanna use Netflix anymore because of this new feature,Negative with Suggestion
"I started my first campaign 3 weeks ago and during this course I made some modifications, get some good advices, so yes, I'm enough satisfied. Only one thing, some lectures aren't anymore relevant, because some things already changed. I would suggest to make an update.",Positive with Suggestion
not appropriate at all. was expecting more of a project based example. like actual product based complete execution along with how to check and see the results.,Negative with Suggestion
"The staff of this airline at the terminal,  is probably the most heartless I have ever had the experience of dealing with. My daughter was  traveling alone back to University and was trying very hard to navigate thru the congested security clearance which is another story, en route to the boarding gate. She arrived with boarding ticket in hand (confirmed the day prior)  and 3 minutes to spare before final boarding was done. She was told by the gentleman agent that the door is locked and she has to contact customer service. Another agent tried to intervene on her behalf to no avail, she proceeded to spend the remainder of the day between terminals on standby before a late afternoon flight which then compounded her return to University once at her destination. Very simple, there was still time to board and this was unnecessary stress. Do better United! Yes they are well aware of this grievance as I took the time to contact them directly.",Negative with Suggestion
"Stop trying to make more money this way. I have been using the same tv, WiFi, and house for over 5 years and randomly this update will tell me that my tv isn't a part of my household. First of all, yes it is and it has been for forever, second of all, so what if it isn't?? Why can't we share accounts? Just because Netflix wants more money doesn't mean your users should have to suffer. This is by far the dumbest update from Netflix and should be discontinued or at least be more effective to the tvs who actually aren't in my household not messing up the ones that are.",Negative with Suggestion
I brought 3 month premium 1 months back but now I am Unable to log in due to some app glitch.generally such problems should be solve in 1 to 2 days but this Spotify team is not even looking in this matter. Spotify should be Thankful to Google Play store because it doesn't have negative rating otherwise Spotify could have negative rating,Negative
"Bought it as a gift, so far the cup holds up with no mold even when purchased from the time it was recalled so some bad factories as normal",Positive
"Absolutely love my Stanley cup! It keeps my drinks cold for hours, and the design is super durable. The color is gorgeous—vibrant yet elegant, making it stand out in the best way. Perfect for everyday use and easy of clean.",Positive
The new update ruined everything,Negative
"Very cheap for the cost of Legos nowadays, but all pieces were there, and the kids are happy.",Positive
Thank gou for sharing. The course is so informative and as a beginner I gained a lot about google ads. All the lessons is easy to understand.,Positive
My 5 yr old granddaughter wanted a Stanley ! lol.I ordered it. It's a pretty pink. Got the small one and the handle works great for her,Positive
They forgot 7 bags and we needed it the next day. Now they are arguing on whose fault it is. They don't even care about us. They had so many problems with there planes.,Negative
The Mouse works perfectly!!!,Positive
After update the app is of no use,Negative
"I'm always hesitant about online classes, mainly will it be worth my time? Answer, absolutely. I was tired of having this black-hole of knowledge that is Google AdWords. Who doesn't google things these days? Corey does an excellent job distilling the topic and gives you an abundant amount of resources. Thanks man, signing up for your Google Analytics class now!",Positive
"Received an offer for a card card for United Airlines.  One of the perks was that you get to have a free bag as well as your companion when you fly.  They also gave 50,000 points.  Well if you use the points to book your flight then you pay for the bags.  I am sure there is some small print somewhere but stared our trip off with $140 of unexpected fees.   $35 per bag each way!!  Very disappointed.I will cancel my credit card and go back to flying southwest.",Negative
Very good but I prefer when we see the person that is speaking instead of ppt's. It make me feel like being back at uni.,Positive with Suggestion
"I had previously taken another  introductory course on Adwords. In comparison, Cory simply hits it out of the ballpark! Course is systematic and thoroughly laid out  but not rushed.",Positive
"My customer service experience was horrible. I asked a simple question about baggage allowance. After 45 minutes chatting with the first agent, I asked to be escalated because they had no idea what the policy of their own company was. After another 20 minutes and and a so-called ‘supervisor', I still did not receive an answer and was told I would get an email with the answer. Still no email and no answer to my question. Very disappointed and wish I would have booked with another airline.",Negative
As expected Nike quality but at an excellent price,Positive
These are very comfortable and look awesome!,Positive
"My family has been having trouble with going to sleep but when we found this app… it changed everything at night! Our favorites are: The Mystery Of the Lavender Water, Your Biggest Fan, nifty, yawny mcdawny and minions",Positive
I'm new to Ad Words so this was all new content for me.  I feel I'm leaving this experience with a basic knowledge to carry on to the next courses,Positive
"“Building Memories: A Lego Adventure” is a heartwarming testament to the timeless joy of Lego. Perfect for children, these vibrant building blocks inspire creativity, learning, and endless fun. As a grandmother it is a delightful experience of building with grandchildren, proving that Lego transcends age. It's not just a toy, but a tool that keeps the mind active and fosters precious family bonds. Dive into “Building Memories: A Lego Adventure” and discover the magic of Lego, a simple yet extraordinary joy shared across generations.You're never too young or too old to build and play with Lego. I have decided on Legos for gifting to my adult children now as well.",Positive
"This Google Adwords for Beginners course changed my life. Must take this course, If you are new in the digital marketing world or if you want to improve your PPC skills. This course helped me quite a lot to pass my Google AdWords exam. Every single lecture in this course gives you so much great insightful. The best part is, the instructor (Corey) shows you how to build and run a complete Campaign step-by-step in plain English and is always ready to help. I would like to thank Corey to introduced such a great course and I am glad that I attended the course that helped me to got the job. Must recommended course !",Positive
"This is a really helpful beginner's guide. Some of the info seems a bit outdated, and the speaker volume is inconsistent. Otherwise, a very good course.",Positive with Suggestion
I have a collar this slips into so my 21 lbs cat can be found I I lose him. Peace of mind.,Positive
"If you have used one of these mice before then you don't really need a review. I'll just say it looks nice in black although it starts looking dirty slightly easier than the white one.If you haven't used this product before, these are some important considerations:a. It's the most Mac-compatible mouse that I know of, it being from the same company. So you'll have access to all the nice gestures and features. That is a huge plus if you're a fan of the MacOS interface.b. Its biggest flaw by far is the charging situation. The charging port is BELOW the mouse, making it physically impossible to charge the mouse WHILE using it. Battery lasts for a long time though, so it might be very rare that you cannot use it because it's charging--just remember to do so while you're away and you'll be good to go.c. As I mentioned, battery life is really good. You can also leave it sleeping without turning it off and nothing bad will happen. I think I charge mine every couple of months, with 3-5 days a week of usage.d. If you want this for gaming, DO NOT BUY, as you have no buttons, scroll wheel, and the sensor is totally tuned for everyday browsing and editing and not for precise movements, and its movement is very assisted (although I'm not sure to what extent that's on MacOS's side).e. About looks, it definitely looks nice both in white and black. Its wireless so it looks nice and elegant.f. On build quality, some units are not on par with the best of Apple's products, but it is still very solid. It definitely doesn't feel cheap although it's definitely pricey for what it does, considering that it hasn't been upgraded in many years.TL;DR: 4/5 stars. Negative: charging port, price. Positive: MacOS gestures, long battery life, looks a feels good.",Positive with Suggestion
"First off, the app is just fine. Usability has become better throughout the years. I like the home page being the new &amp; hot section, it gets my eyes on what's new. I love the “loved this” ranking. 
I love the variety of shows put out. BUT…
STOP CANCELING SHOWS!!! Seriously, each new show I watch, I google for the second season and it's, yet, another show that's been cancelled!! THIS IS SO FRUSTRATING!! 
Or at least add a section to filter by more than one season. 

—Here's just something to think about— most of us are finishing up our binge watching of one show before moving on to another show. Maybe consider giving it more time before canceling it. It's going to cause me to cancel my subscription, my friends have all said the same thing too.",Negative with Suggestion
The videos have the correct duration and you can pause them and create/update material in your Ad Words campaign at the same time.,Positive
10/10 recommend.,Positive
"We've been using these for a long time for our young kid. Looking at my order history, looks like I've ordered many many of these bottles. This makes a good lather during showers and cleans and smells good afterwards. No complaints all.",Positive
GIVE ME BACK MY LORAX I BEEN WAITING AND WAITING FOR MY LORAX TO COME BACK ON HERE AND ITS STILL NOT WHY DID YOU EVEN TAKE IT OFF IN THE FIRST PLACE THIS IS WHY THAT PEACOCK APP IS BETTER BESIDES ALL THE ADS JUST PUT THE LORAX BACK ON NOW OR ELSE I WILL SUE,Negative with Suggestion
I love this product it's good for my babies skin,Positive
All the 1 star reviews are true..... Same with the Spotify lite.,Negative
I love love loveee my Stanley! It keeps all my drinks cold for a long time. It's easy to clean and the stainless steel is perfect. The color was the exact same as the pictures. Only giving 4/5 stars due to the cup not being leak proof. I wish I was aware of that.,Positive with Suggestion
"I have had Netflix since it was DVDs in the mail. Once they implemented their password sharing policy, they told me how to get around it for my lake home using the traveling feature. It has been nothing but an absolute nightmare! They tell you to log into your Netflix at home watch some thing and then log into your second home and watch some thing and then magically you should be able to watch it at your second home. That is absolutely not the case, no matter what you do, no matter how many hours you spend on Netflix Support, all it will allow you to do is change the household to your second home, which will block Netflix at your main home or you can pay $7.99 to add an additional user. At this point Netflix does not deserve my business anymore.",Negative
Recommend to use for children and adults.,Positive
We love this shampoo for our two babies. Last us forever.,Positive
Really wanted to like this but just too uncomfortable for my hands. Very low profile places the wrist on the work surface and no support while the hand is curled holding the mouse. Love the intuitive finger scrolling but after an hour I found myself wanting to stop using it. If you have super small hands this may work out.,Negative with Suggestion
Good Product All Around,Positive
Works great and connected to my MacBook without any issues.,Positive
"I saw a preview for BURNT, and I had hesitated to watch this movie for years. But the preview was intriguing. So I headed to Netflix to watch. While the movie was amazing (in theaters it would have been brilliant!), there was one (or more) crucial scenes cut out! How frustrating to watch an anticipated movie only to have it incomplete! Whatever your reasons for sliming down films, stop. Please.",Negative with Suggestion
I started using the calm app when I was struggling and things were falling apart. Now I start my day off by meditating with the calm app. I listen to Tamar's daily calm and it helps me to focus on what I want to concentrate for self improvement. Calm has helped me to make self care a priority which has improved my relationships with my family and friend. I live more in the moment that helps me to respond with kindness and compassion instead of react with anger and hurt. I now enjoy my own company and am learning to treat myself like I would treat my friends. Calm app has gently encouraged me to reflect on myself and the positive changes just followed. I look forward each morning to start my day listening to Tamara and then now also squeeze in Daily Jay and session with Jeff.,Positive
Never fly with them again ruined our anniversary plans to New York delayed flights then diverted to Shannon for overnight stay then delayed leaving Shannon missed day and a half of our anniversary no compensation absolute joke don't fly with them,Negative
They are comfortable and long lasting,Positive
"I really enjoyed this course, it answered a lot of questions I had regarding AdWords. I will now use this information to correctly set up an AdWords account for my company. And I can now even help other people who are trying to do the same thing.",Positive
"The app is an excellent tool to add to your toolkit or coping skills so to speak. Incorporated into my daily routine it is a very effective quick way to check in to manage my stress and any other emotion I experience. As a licensed clinician working in the mental health field I have a duty to take care of myself above all things. Calm helps me relieve the stress of the work day and reminds me that I can only help others if I am at my best. Being centered and ready to take on the day with happiness, enthusiasm, and passion is the foundation of my existence. Adding Calm to my tool box, bag of tricks, or coping skills no matter what language you use this is a valuable addition to your self-care routine.
Susan Bergen",Positive
"I really want to love it because I LOVE some of the touchpad-like functionality. But as many others have said, the ergonomics are really poor. I've considered getting some of the ergonomic accessories/add-ons, but it's also a little heavy, and takes a bit more effort to engage a click than feels healthy. Wish it had tap to click! (I actually tried a third-party app to help with that – but while it added the functionality, it was a bit buggy/jumpy, so I didn't keep using it.)Alas, this little guy is getting returned… Keeping it at 3 stars rather than 2 because for someone who is only a light computer user, it might be okay. But I have to use it for my remote computer job, for both design and admin.",Negative with Suggestion
"Great buy, good variety",Positive
I bought this as a gift for one of the children of Jefferson Barns. He was so excited to open it up!,Positive
This class is way to outdated.  It shouldn't even be offered.  It is impossible to follow as Google looks completely different now.  Names have changed and couldn't follow instructions.  This is a complete waste of time,Negative
"Best tumble I've found for coffee. It'll fit in every cup holder I got, has a screw on lid and won't leak coffee every where if it falls over.",Positive
"Netflix is new changes has been so annoying to deal with. Every night I sit down to watch on my tv it tells me my tv is not in the household. I don't watch it anywhere else, no one else uses my account. It's just annoying to deal with this constantly.",Negative
"Will fit in car cup holder BUT if go around corner fast it will FALL OVER, & leak out.  I like really cold water, use  2 BIG ice cubes, around 3-4  acrylic ice cubes plus small cubes from refrigerator ice maker; for 30 oz size..  Sometimes add more water after a few hours.",Negative
Me and my 5 years old son have a lot of fun with this Lego,Positive
"This airline is literally the worst. They canceled our flight to Seattle. Because the flight was domestic they will not give people their bags. I watched honeymoons get ruined. Cruses get ruined, and my bag with a firearm is going to take a ride to Seattle for nothing. And then need to be flown home. The staff is unsympathetic. They are all fat. Nasty attitudes. Fly any other airline.",Negative
Standard box of Lego bricks.  Decent variety of shapes and sizes.  I'm not such a fan of all the different colors; I would prefer sticking to just a few colors and providing more bricks of those colors.  But that's my preference and I understand why Lego expanded the color choices.  Otherwise the set includes enough bricks to spark creativity for kids and should keep them occupied for an hour at a time.  It certainly did for my kids.,Positive with Suggestion
"I absolutely love the CALM app! It has truly transformed my daily life for the better. The soothing meditations and sleep stories help me unwind after a long day, and the mindfulness exercises keep me grounded and focused. The app's user-friendly interface makes it easy to navigate, and the variety of content ensures there's always something to suit my mood. CALM has become an essential part of my self-care routine, and I can't recommend it enough for anyone seeking peace and relaxation in their hectic lives. Thank you, CALM, for making mindfulness and tranquility so accessible!",Positive
"One of the fabric loops that function for shoe lace eyelets ripped away from the main body of the shoe. I had to see it up myself to make the shoe functional, but it never looked right. It was that or go through the hassle if a return and not having shoes for jogging. The quality of the stitching is questionable. Some good aspects, but unreliable quality. Overall, I was left feeling disappointment.",Negative with Suggestion
Christmas present for 5 year old,Positive
"I really enjoyed the course, it is very complete with examples and everything. Needs some updating though but the he's getting done little by little.",Positive with Suggestion
Good product for the price and fits and looks good.  Comfty pair of good shoes.,Positive
This course is great for beginners with very little experience with Google Adwords. Corey is a wonderful instructor. He provided plenty of additional resources along with demos for each concept. I definitely feel more confident with Google Adwords and will continue to study for the certification.,Positive
"Pls do that Bc I like watching talking tom and friends and U TOOK SEASON ONE AWAY! So plsss do that Bc I like the show and wanna watch more episodes not just the same thing everyday so pls Netflix -ADD ALL TALKING TOM SEASONS
And DONT TAKE OUT KID DANGER ANG TALL GIRL",Negative with Suggestion
"Worse than spirit and frontier. They have a new and very sneaky policy which charges for normal carryons. Ended up running us $110 to check 1 bag and 2 regular carryons. Their employees were nice, but United-Corporate hung them out to dry. They were clearly burnt out and getting shredded by customers relentlessly over the companies nickel and diming behavior. The flight itself was also garbage. We will never be flying united again, and if you are reading this, we highly recommend you don't either. I would rate it 0/5 if I could. Spirit and frontier are at least honest about how they treat their customers. Truly awful. I don't normally leave reviews but this experience inspired me.",Negative
You should not remove home. It is a good movie. It is the best movie even though I watch it once in a while I still love that movie and think it should be put on your app. This is my review and other people agree with it but I hope you take the decision to leave it there.,Positive with Suggestion
"Be aware- if used with any Mac running any OS except Sequoia, you will not have full features- Magic Touch on this mouse will ONLY work with OS Sequoia or later. I found out the hard way by thinking I had a defective one the first time, as it failed to work with my old Mac as well. Why Apple would do this is beyond me, but it's Apple (eye roll). It is hard to find this out on line, and Apple simply states on the box ‘requires Mac with the latest version of macOS', with any specifics.",Negative with Suggestion
New update is the worst thing ever 💀,Negative
A classic! but now with USB -C and at 20% discount when bought in December 2024,Positive
"This was the best app now it's basically useless like no replaying songs,no playing songs in order it removes all the fun",Negative with Suggestion
"Wish i could connect to multiple phones at the same time! But, works great for a set of keys.",Positive with Suggestion
"I used to make fun of people for using these Stanley cups, I always thought they were overpriced and over hyped. But I purchased this for my little sister who is in nursing school, and she takes this thing with her everywhere!!! All she does is rave about how amazing it is! So I bought one as well, and they really are amazing products. Made super well, they keep ice in them for hours and hours! Super comfortable to hold in your hand, not too heavy or bulky. Easy to clean and seem to be super durable. I've dropped mine I don't even know how many times now, and not a single mark! They also don't leak easy at all. Unless you're holding it completely upside down, even then it doesn't leak fast. Super happy!",Positive
"I've had this app, free to my fingertips (with my work affiliation), for the last couple years. Never used it..until 2 weeks ago. It's helped with my sleep sooo much! Especially when I wake up at 2-3am, when my mind is spinning, I play one of the “fall back asleep”
Simulations, and it works like a dream. This has been a game changer 🩵",Positive
These Nike shoes are so far go good.  A beautiful set of shoes that fit just about perfect.  I was worried when I ordered these shoes initially because I have wide feet.  They fit like a glove.  I purchased these two months ago but no sign of wear so far.,Positive
First one was not delivered in box as it should have been.Amazon replaced without problem.Works great.,Positive
"I have used United for a long time an have had good experiences with them except for time before last an the clerk at the check in was rude. But the last trip I made  I flew out of New Orleans an the worker at the ticket counter was very nice. She took my phone an used the Kiosk an checked me in, an was very helpful. Her name was Andree Roberts An I want to shout  out what a very good employee United has . Wish everyone was this nice !!!",Positive with Suggestion
I'm really glad I took the course.  I'm going to save huge money and get more conversions as a result!  Worth it.,Positive
Gentle and soft soap on my toddlers skin. Very light fragrance. Good value size.,Positive
"💩 app and your update is just 💩💩. Spotify is trash, junk yard. Such a sick retard app.",Negative
"I have flown well over a million miles with United and have had 1K status for many years. Before the pandemic I had 120 plus points canceled since there is a 1 year time limit on them. You can use these points to upgrade which rarely happens. I have another 80 points due to be canceled this month and reached out to see if I could extend the expiration to no avail!I traveled over 100K miles last year with United and tried to upgrade using these points but was never able to for whatever reason which is solely in United's control. What is the point of having this so-called benefit, if United controls it and there is an expiration date on it?I do get pre-boarding benefits which is last in a long list of other pre-boarding groups. I do get complimentary economy plus seating which is a smidgen better than economy but for international trips they are not very comfortable either.The ground staff is not very pleasant and crew on the plane treat passengers like cattle compared to other international airlines where service is much better, and quality of the food and entertainment is better.Unfortunately, I am vested and switching gears this late in the game doesn't make sense; if another airline offered to take my status and points and such over I would without hesitation switch and be loyal to them as I have been to United. If you do not have any status with United, does not make much sense to travel with them unless circumstances warrant it.Hope this helps someone.",Negative with Suggestion
Loved these! I had never purchased before because I never taught I'd be necessary for my trip. This time my husband and I were flying to Brazil for the first time and so we had a couple extra gifts and the bags and taught I'd be a good idea to get. I probably won't be flying without them again. Super easy to use and follow.,Positive
"The app is becoming worse and worse everyday, every basic feature is becoming premium. Even the backskip button is now a premium feature, you can't get back to a music if it gets skipped. Uninstalling Spotify. Even after so many users giving bad rating they still keep asking for money. Just money seeking creeps. Disappointed and Angry..",Negative
"I love to meditate with Jeff Warren every morning.  His voice and words help me start my day.  

I finish my day with harry styles, because of his lovely soothing voice and story

I also love to take the mindful breaks during the day, any time .  There's always something on calm to help me live my life better and more meaningful 

Thank you for being here.  I will stay as long as my favorites are here .  Also Tamara Levit she very god also",Positive with Suggestion
"It's pretty hard to precisely aim it onto any small object (such as a close button or edge of a browser to drag or some position somewhere in a typed word) with acceleration turned on or off. It's super weird that I need to lift my middle finger from the mouse to use inertia scroll; if my middle finger is resting on the mouse, index finger scrolling doesn't have inertia. And of course, there's the famous charging port on the bottom. Other than that, it's quite nice, well built, and pleasing to use mouse. Oh, and it pinches fingers that I hold it with on the sides on every click, because entire top surface goes down.",Negative with Suggestion
Worst app everthing is available only on premium only new updates sucks deleting this app... Ridiculous service,Negative
"Looking for hours of fun with bricktastic brick play, then this Lego essential is a must have for your family. One of the best purchases I have made, found this great deal on Amazon and glad I did such a variety of bricks and endless building ideas. 10 out of 10",Positive
"My life has been a real struggle for me for the past 2 years. The past 8 months have been horrible. Had it not been for this site I'm not sure I would be here. Thank you for all the wonderful work that you do.
You truly are saving lives. Between Calm and therapy I can stay focused and know that there really is more out there!

Thank You Truly you will never know what you have done!",Positive
I have always used Netflix. But tell me why I can't watch Netflix at my home during the week and at my cabin on the weekends. I'm paying your overpriced fees. And yet I can't use the service I PAY for because I own a business and travel on the weekends to it. What.  a.  joke. Wish I could give zero stars because that's what it deserves.,Negative
excellent Apple product.  Works exactly as advertised.  No need to have GPS because this does the job as long as you have apple infrastructure.,Positive
"I'm not too sure whether airline carriers are regulated in the US/EU. I do know that their pricing and grading of tickets is a nightmare. The flight from Dublin to Las Vegas, via (Newark) was delayed by 1 hour. Our travel agent had booked tickets through Lufthansa, one of which was an internal US flight. Our original flights were cancelled, and a new itinerary was issued, this was done over the phone with Lufthansa. We travelled from Dublin, with no luggage, as we wanted to purchase a number of items. When trying to check in baggage with United, we were hit with a $350 charge, because our ticket was BASIC Economy, my partners bag was under 23kg, and she was hit with a $275, while mine was $75. I'm not even sure that a basic economy exists in Europe, as you just pay a fee for bringing on luggage both ways (€50). United airlines in my opinion are rip off merchants. It's shocking a customer has to pay this, this should be highlighted on the first page of their app, but no, it's not,  because their revenue stream is dependent on not being transparent, and ripping people off. A shocking airline, who I will NEVER fly with again!!!!",Negative with Suggestion
